feature,pct
seq_days_since_last,10.477110822673376
last_list_price,10.009759130307895
autorenew_share,9.457796399814786
payment_method_id_39.0,8.007914640805557
last_is_cancel,7.117229308220683
seq_mean_gap_days,5.394618242077609
last_actual_paid,5.242386197389224
payment_method_id_41.0,5.1597023413340315
tenure_days,4.252311236564175
last_plan_days,2.949699561933599
registered_via_7.0,2.8082998119538054
txn_count,2.6353660258937577
plays_25,2.2983787184662954
unq_mean,2.2880296843100463
payment_method_id_34.0,2.2360425937369586
